Id,SalePrice
1461,164405.01150893324
1462,189471.97058623077
1463,248311.109665169
1464,237643.12441158172
1465,260052.52047703872
1466,245389.41871144928
1467,221768.5305398581
1468,225612.66023039276
1469,292191.2385293326
1470,200707.66197961674
1471,217347.37202430423
1472,176076.05545117264
1473,176076.05545117264
1474,193156.09139140602
1475,180641.16822723276
1476,421429.7637730165
1477,297507.24618538696
1478,389901.85387789394
1479,402410.48199280404
1480,507751.16279590735
1481,439253.6568706749
1482,317909.0775276099
1483,243704.6087907235
1484,297692.5638718635
1485,258489.04062254386
1486,259807.78025630268
1487,437419.27138646797
1488,247391.7325027207
1489,263979.1212209733
1490,286500.7914863932
1491,370189.7641710671
1492,164987.38736185886
1493,259091.96555839558
1494,362651.42434139026
1495,369184.6042529409
1496,333455.88626936014
1497,230641.11997676964
1498,363984.9356480564
1499,237362.162724193
1500,246038.4502153464
1501,229703.32432132468
1502,237503.84535754082
1503,317988.33607081836
1504,277805.32545422955
1505,260055.07549140957
1506,220986.13370689627
1507,356759.30931045045
1508,229406.501527016
1509,221311.8369456972
1510,203324.39717522336
1511,222405.92895291327
1512,222566.1971173014
1513,194888.24247334586
1514,196656.98099258746
1515,225318.59130477876
1516,206810.09831411083
1517,272026.4492573473
1518,188798.7549873556
1519,253860.00579599035
1520,198743.46846461037
1521,207419.75595576374
1522,215875.70001033257
1523,182459.1611733641
1524,195861.30171651175
1525,184781.62730546386
1526,207776.97946948957
1527,173279.31453473112
1528,174620.2779207233
1529,201228.79543707255
1530,249107.59825543565
1531,192412.66319810698
1532,181118.5966945889
1533,217264.78477411793
1534,202095.4487245893
1535,187689.58387139667
1536,179538.9183260711
1537,141314.104192364
1538,240675.7643833733
1539,234899.2167357194
1540,304237.424524605
1541,195888.40096226498
1542,179538.9183260711
1543,230228.87105604698
1544,161568.10262856906
1545,165202.73013857973
1546,179523.62230777118
1547,192147.84826809686
1548,189803.9234507752
1549,195954.1249996823
1550,179523.62230777118
1551,185053.02793509033
1552,193205.20844640135
1553,237670.97802181396
1554,181569.61923404015
1555,209301.92183194763
1556,211831.67413531314
1557,173207.74546136233
1558,167617.943443519
1559,223920.88111557442
1560,216118.05884876897
1561,168131.08979726973
1562,232538.0312855341
1563,202150.93627845345
1564,254649.6407183788
1565,220415.9705662094
1566,341629.48743757646
1567,162699.59553980295
1568,365715.91191398056
1569,285947.4267292399
1570,214464.65528965613
1571,205677.0024476552
1572,216990.47732578614
1573,302428.34929313423
1574,190101.16178599303
1575,347422.9680539523
1576,267030.6584056002
1577,267647.6764531027
1578,194785.17397653544
1579,221284.94172003175
1580,241625.1739021105
1581,233674.77326290985
1582,218551.80049494025
1583,282675.7767546819
1584,257908.48757657316
1585,266930.6705851104
1586,161152.2011066336
1587,171677.42952331962
1588,243392.8407918498
1589,174675.7769507596
1590,218450.55231179175
1591,174372.9061898511
1592,240456.34770606336
1593,195556.44833091454
1594,208271.0122902669
1595,181964.64129091747
1596,268793.39973310963
1597,239579.4416593786
1598,243528.1686195283
1599,323673.44762336987
1600,288218.7204522059
1601,175819.6588907862
1602,204170.9431342095
1603,174713.68909758047
1604,408877.1416367409
1605,258624.10648015136
1606,209962.71702718764
1607,189364.71268037264
1608,274099.2689432091
1609,245808.41639624487
1610,237378.99027976568
1611,207017.63100922943
1612,286711.47196263104
1613,188493.95228858577
1614,224859.54320371815
1615,166965.78157395893
1616,160341.3828130775
1617,167910.05254377684
1618,184781.62730546386
1619,251488.50629840643
1620,203939.6174794196
1621,220904.07179421815
1622,238284.6569676969
1623,324786.1125800086
1624,388829.47198553727
1625,183711.7720474664
1626,207943.79213792257
1627,241126.1139002257
1628,405045.39513913647
1629,240045.69533360988
1630,358209.5612589788
1631,345362.5658279737
1632,269020.8067063251
1633,263366.0177074524
1634,271247.58496221626
